"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"3553","2026-01-04 15:39:59 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3554","2026-01-04 15:54:59 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3555","2026-01-04 15:54:59 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3556","2026-01-04 16:10:00 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3557","2026-01-04 16:10:00 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3558","2026-01-04 16:25:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3559","2026-01-04 16:25:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3560","2026-01-04 16:40:02 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3561","2026-01-04 16:40:02 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3562","2026-01-04 16:55:03 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3563","2026-01-04 16:55:03 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3564","2026-01-04 17:10:03 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3565","2026-01-04 17:10:03 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3566","2026-01-04 17:25:04 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3567","2026-01-04 17:25:04 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3568","2026-01-04 17:40:05 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3569","2026-01-04 17:40:05 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
